Qty,Value,Device,Package,Parts,Description,DIGIKEY
2,,INDUCTOR0603,603,"L1, L2",Inductors,490-1015-1-ND
1,,LED0603,LED-0603,D1,LEDs,160-1834-1-ND
1,,LED0603,LED-0603,D2,LEDs,160-1835-1-ND
1,,LED0603,LED-0603,D3,LEDs,160-1837-1-ND
1,1.1nH,INDUCTOR0402,C0402,L7,Inductors,
1,1.5nH,INDUCTOR0402,C0402,L8,Inductors,
9,100nF,C-EUC0402,C0402,"C14, C15, C16, C17, C18, C19, C20, C21, C22","CAPACITOR, European symbol",490-1318-1-ND
1,10k 1%,R-US_R0402,R0402,R12,"RESISTOR, American symbol",RHM1.00MCDCT-ND
1,15pF,C-EUC0402,C0402,C5,"CAPACITOR, European symbol",490-1318-1-ND
2,1M 1%,R-US_R0402,R0402,"R16, R17","RESISTOR, American symbol",RHM1.00MCDCT-ND
2,1k 1%,R-US_R0402,R0402,"R4, R5","RESISTOR, American symbol",P56.0KLCT-ND
1,1kOhm,INDUCTOR0402,C0402,L11,Inductors,
3,1nF,C-EUC0402,C0402,"C11, C12, C13","CAPACITOR, European symbol",490-1318-1-ND
4,1nH,INDUCTOR0402,C0402,"L3, L4, L5, L6",Inductors,
1,1pF,C-EUC0402,C0402,C1,"CAPACITOR, European symbol",490-1318-1-ND
2,1uF,C-EUC0603,C0603,"C23, C24","CAPACITOR, European symbol",490-1550-1-ND
1,2.2uF,C-EUC0402,C0402,C25,"CAPACITOR, European symbol",490-1318-1-ND
1,2.7pF,C-EUC0402,C0402,C2,"CAPACITOR, European symbol",490-1318-1-ND
1,2450BM15A0002,2450BM15A0002,2450BM,B1,BALUN JTI MATCHED ZIGBEE,712-1536-1-ND
4,27pF,C-EUC0402,C0402,"C7, C8, C9, C10","CAPACITOR, European symbol",490-5869-1-ND
1,2nH,INDUCTOR0402,C0402,L9,Inductors,
1,3.9pF,C-EUC0402,C0402,C6,"CAPACITOR, European symbol",490-1318-1-ND
1,330k 1%,R-US_R0402,R0402,R15,"RESISTOR, American symbol",P56.0KLCT-ND
1,3pF,C-EUC0402,C0402,C3,"CAPACITOR, European symbol",490-1318-1-ND
1,4.3k,R-US_R0402,R0402,R6,"RESISTOR, American symbol",P56.0KLCT-ND
3,4.75k,R-US_R0402,R0402,"R7, R8, R9","RESISTOR, American symbol",RHM1.00MCDCT-ND
3,470,R-US_R0402,R0402,"R1, R2, R3","RESISTOR, American symbol",RHM470JCT-ND
1,5.1nH,INDUCTOR0402,C0402,L10,Inductors,
2,5.6k 5%,R-US_R0402,R0402,"R10, R11","RESISTOR, American symbol",RHM1.00MCDCT-ND
2,56k 1%,R-US_R0402,R0402,"R13, R14","RESISTOR, American symbol",P56.0KLCT-ND
1,6.8pF,C-EUC0402,C0402,C4,"CAPACITOR, European symbol",490-1318-1-ND
1,BBB_HEADERS,BBB_HEADERS,BBB_HEADERS,P9/P8,Pin Header,
1,CAT24C256WI-GT3,CAT24C256WI-GT3,CAT24C256WI-GT3,U3,"256kb Serial CMOS EEPROM, organized as 32,768 words of 8 bits each",
2,CC2520,CC2520,S-PVQFN-N28,"U1, U2",2.4 GHZ IEEE 802.15.4/ZIGBEE® RF TRANSCEIVER,296-22996-1-ND
1,CC2591,CC2591,PVQFN-16,IC1,,
1,JUMPER-PAD-3-NOFULL_BOX_SILK,JUMPER-PAD-3-NOFULL_BOX_SILK,PAD-JUMPER-3-NO_YES_SILK_FULL_BOX,SJ1,,
1,JUMPER-PTH-2-NO,JUMPER-PTH-2-NO,PTH-JUMPER-2-NO_NO_SILK,WRT,,
2,MOLEX_73251-135X,MOLEX_73251-135X,SMA-J/PCB,"P1, P2",SMA JACK SMT 50 OHM,WM9357-ND
2,NX2520SA,NX2520SA,NX2520SA,"X1, X2",CRYSTAL 32MHZ 10PF SMD,644-1065-1-ND
1,UMICH_SOLID_SMALL,UMICH_SOLID_SMALL,UMICH_SOLID_75MIL,U$1,,
